﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","mushroom1","mushroom2","mushroom3","feature","value","attentionStimuli","attentionChoice","attentionCheck"
"true","fullscreen","0","2387","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","61185","0.0-1.0","[{""page_index"":0,""viewing_time"":1577},{""page_index"":1,""viewing_time"":36278},{""page_index"":2,""viewing_time"":20939}]","58795","","","","","","","","","","","","",""
"","html-button-response","2","75005","0.0-2.0","","13819","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","77718","0.0-3.0","","2711","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","418754","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":15698},{""page_index"":1,""viewing_time"":100816},{""page_index"":2,""viewing_time"":63506},{""page_index"":3,""viewing_time"":73106},{""page_index"":4,""viewing_time"":8763},{""page_index"":5,""viewing_time"":73020},{""page_index"":6,""viewing_time"":6132}]","341040","","","","","","","","","","","","",""
"","survey-multi-choice","5","448262","0.0-4.0-1.0","","29500","","{""Q0"":""教游客有关他（她）的蘑菇特征的事实。"",""Q1"":""不可以，撒谎是不被允许的"",""Q2"":""不重要，游客选择什么蘑菇不重要""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","468376","0.0-4.0-2.0","","20111","","{""Q0"":""1"",""Q1"":""0"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","494506","0.0-4.0-3.0","","26129","","{""Q0"":""-1"",""Q1"":""1"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","554340","0.0-4.0-4.0","","59833","","{""Q0"":""3"",""Q1"":""3"",""Q2"":""-5"",""Q3"":""5""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","585407","0.0-4.0-5.0","","31065","","{""Q0"":""3"",""Q1"":""-3"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","instructions","10","756778","0.0-4.1-0.1","[{""page_index"":0,""viewing_time"":20751},{""page_index"":1,""viewing_time"":18433},{""page_index"":2,""viewing_time"":13068},{""page_index"":3,""viewing_time"":23863},{""page_index"":4,""viewing_time"":6886},{""page_index"":5,""viewing_time"":71071},{""page_index"":6,""viewing_time"":17300}]","171372","","","","","","","","","","","","",""
"","survey-multi-choice","11","796343","0.0-4.1-1.1","","39564","","{""Q0"":""教游客有关他（她）的蘑菇特征的事实。"",""Q1"":""不可以，撒谎是不被允许的"",""Q2"":""不重要，游客选择什么蘑菇不重要""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","12","816279","0.0-4.1-2.1","","19935","","{""Q0"":""1"",""Q1"":""0"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","13","829476","0.0-4.1-3.1","","13196","","{""Q0"":""-1"",""Q1"":""1"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","14","855860","0.0-4.1-4.1","","26383","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-5"",""Q3"":""5""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","15","886494","0.0-4.1-5.1","","30632","","{""Q0"":""3"",""Q1"":""-3"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","html-button-response","16","889626","0.0-5.0","","3127","
    <div class=""break-container"">
        <p class=""break-message"">🎉太棒了</p>
        <p class=""break-message"">你通过了所有的测验，获得了导游资格证🎫</p>
        <p class=""break-message"">现在，点击下方按钮，正式开始接待游客</p>
    </div>
    ","0","","truth","[{""绿"":1},{""红"":0},{""蓝"":-1},{""斑点"":-2},{""条纹"":2},{""纯色"":0},{""绿_A1"":0},{""红_A1"":-1},{""蓝_A1"":-2},{""斑点_A1"":-3},{""条纹_A1"":1},{""纯色_A1"":-1},{""绿_A2"":2},{""红_A2"":1},{""蓝_A2"":0},{""斑点_A2"":-1},{""条纹_A2"":3},{""纯色_A2"":1}]","","","","","","","",""
"","survey-html-form","17","915294","0.0-6.0","","25664","","{""feature"":""蓝色"",""value"":""-2""}","","","","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":1,""value_A2"":5}","蓝色","-2","","",""
"","survey-html-form","18","926012","0.0-7.0","","10716","","{""feature"":""红色"",""value"":""-1""}","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-4,""value_A2"":0}","红色","-1","","",""
"","survey-html-form","19","943494","0.0-8.0","","17479","","{""feature"":""纯色"",""value"":""-1""}","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","纯色","-1","","",""
"","survey-html-form","20","956561","0.0-9.0","","13063","","{""feature"":""斑点"",""value"":""-3""}","","","","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":0,""value_A2"":4}","斑点","-3","","",""
"","survey-html-form","21","967946","0.0-10.0","","11382","","{""feature"":""斑点"",""value"":""-3""}","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-4,""value_A2"":0}","斑点","-3","","",""
"","survey-multi-choice","22","970761","0.0-11.0","","2814","","{""Q0"":""L""}","[0]","","","","","","","","L","L","pass"
"","survey-html-form","23","985394","0.0-12.0","","14631","","{""feature"":""蓝色"",""value"":""-2""}","","","","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-4,""value_A2"":0}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","蓝色","-2","","",""
"","survey-html-form","24","995394","0.0-13.0","","9998","","{""feature"":""纯色"",""value"":""-1""}","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-4,""value_A2"":0}","纯色","-1","","",""
"","survey-html-form","25","1006944","0.0-14.0","","11549","","{""feature"":""绿色"",""value"":""0""}","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":1,""value_A2"":5}","绿色","0","","",""
"","survey-multi-choice","26","1009014","0.0-15.0","","2069","","{""Q0"":""E""}","[0]","","","","","","","","E","E","pass"
"","survey-html-form","27","1018394","0.0-16.0","","9377","","{""feature"":""绿色"",""value"":""0""}","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","绿色","0","","",""
"","survey-html-form","28","1026994","0.0-17.0","","8598","","{""feature"":""条纹"",""value"":""1""}","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":1,""value_A2"":5}","条纹","1","","",""
"","survey-html-form","29","1037514","0.0-18.0","","10518","","{""feature"":""红色"",""value"":""-1""}","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":1,""value_A2"":5}","红色","-1","","",""
"","survey-multi-choice","30","1039927","0.0-19.0","","2412","","{""Q0"":""J""}","[0]","","","","","","","","J","J","pass"
"","survey-html-form","31","1047313","0.0-20.0","","7384","","{""feature"":""绿色"",""value"":""0""}","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-4,""value_A2"":0}","绿色","0","","",""
"","survey-html-form","32","1056944","0.0-21.0","","9628","","{""feature"":""斑点"",""value"":""-3""}","","","","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-4,""value_A2"":0}","斑点","-3","","",""
"","survey-html-form","33","1066881","0.0-22.0","","9933","","{""feature"":""纯色"",""value"":""-1""}","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","纯色","-1","","",""
"","survey-html-form","34","1080812","0.0-23.0","","13929","","{""feature"":""条纹"",""value"":""1""}","","","","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":0,""value_A2"":4}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":1,""value_A2"":5}","条纹","1","","",""
