﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","mushroom1","mushroom2","mushroom3","feature","value","attentionStimuli","attentionChoice","attentionCheck"
"true","fullscreen","0","3073","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","104429","0.0-1.0","[{""page_index"":0,""viewing_time"":1474},{""page_index"":1,""viewing_time"":58325},{""page_index"":2,""viewing_time"":41556}]","101355","","","","","","","","","","","","",""
"","html-button-response","2","107506","0.0-2.0","","3075","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","110739","0.0-3.0","","3233","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","403298","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":23079},{""page_index"":1,""viewing_time"":12734},{""page_index"":2,""viewing_time"":63443},{""page_index"":3,""viewing_time"":59488},{""page_index"":4,""viewing_time"":3211},{""page_index"":3,""viewing_time"":12368},{""page_index"":4,""viewing_time"":19241},{""page_index"":5,""viewing_time"":87733},{""page_index"":6,""viewing_time"":11260}]","292557","","","","","","","","","","","","",""
"","survey-multi-choice","5","426501","0.0-4.0-1.0","","23201","","{""Q0"":""告诉游客有关蘑菇的事实\n\n无论是你的分数还是游客的分数都可以。"",""Q1"":""不可以，撒谎是不被允许的"",""Q2"":""重要，我们希望游客选到最美味的蘑菇""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","459921","0.0-4.0-2.0","","33418","","{""Q0"":""1"",""Q1"":""1"",""Q2"":""-2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","487231","0.0-4.0-3.0","","27309","","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","515792","0.0-4.0-4.0","","28560","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-5"",""Q3"":""5""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","543819","0.0-4.0-5.0","","28025","","{""Q0"":""1"",""Q1"":""-1"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","instructions","10","748341","0.0-4.1-0.1","[{""page_index"":0,""viewing_time"":20514},{""page_index"":1,""viewing_time"":7813},{""page_index"":2,""viewing_time"":7059},{""page_index"":3,""viewing_time"":2207},{""page_index"":4,""viewing_time"":3631},{""page_index"":3,""viewing_time"":1457},{""page_index"":2,""viewing_time"":669},{""page_index"":1,""viewing_time"":727},{""page_index"":0,""viewing_time"":9668},{""page_index"":1,""viewing_time"":2368},{""page_index"":2,""viewing_time"":957},{""page_index"":3,""viewing_time"":1441},{""page_index"":4,""viewing_time"":14097},{""page_index"":5,""viewing_time"":55111},{""page_index"":6,""viewing_time"":15050},{""page_index"":5,""viewing_time"":2225},{""page_index"":4,""viewing_time"":4844},{""page_index"":3,""viewing_time"":15643},{""page_index"":2,""viewing_time"":9341},{""page_index"":1,""viewing_time"":3690},{""page_index"":0,""viewing_time"":1683},{""page_index"":1,""viewing_time"":956},{""page_index"":0,""viewing_time"":8112},{""page_index"":1,""viewing_time"":851},{""page_index"":2,""viewing_time"":871},{""page_index"":3,""viewing_time"":3204},{""page_index"":2,""viewing_time"":1427},{""page_index"":3,""viewing_time"":1361},{""page_index"":4,""viewing_time"":1335},{""page_index"":5,""viewing_time"":3679},{""page_index"":6,""viewing_time"":2530}]","204520","","","","","","","","","","","","",""
