﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","mushroom1","mushroom2","mushroom3","feature","value","attentionStimuli","attentionChoice","attentionCheck"
"true","fullscreen","0","2134","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","33339","0.0-1.0","[{""page_index"":0,""viewing_time"":19436},{""page_index"":1,""viewing_time"":10592},{""page_index"":2,""viewing_time"":1176}]","31203","","","","","","","","","","","","",""
"","html-button-response","2","35163","0.0-2.0","","1824","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","36331","0.0-3.0","","1167","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","152340","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":45271},{""page_index"":1,""viewing_time"":6656},{""page_index"":2,""viewing_time"":22313},{""page_index"":3,""viewing_time"":12711},{""page_index"":4,""viewing_time"":2872},{""page_index"":5,""viewing_time"":21952},{""page_index"":6,""viewing_time"":4225}]","116001","","","","","","","","","","","","",""
"","survey-multi-choice","5","183083","0.0-4.0-1.0","","30740","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们可以吃"",""Q2"":""斑点价值0分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","197370","0.0-4.0-2.0","","14285","","{""Q0"":""0"",""Q1"":""2"",""Q2"":""-2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","216762","0.0-4.0-3.0","","19390","","{""Q0"":""1"",""Q1"":""2"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","229338","0.0-4.0-4.0","","12573","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-3"",""Q3"":""3""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","244571","0.0-4.0-5.0","","15230","","{""Q0"":""-1"",""Q1"":""2"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","instructions","10","325147","0.0-4.1-0.1","[{""page_index"":0,""viewing_time"":15829},{""page_index"":1,""viewing_time"":2352},{""page_index"":2,""viewing_time"":11760},{""page_index"":3,""viewing_time"":7368},{""page_index"":4,""viewing_time"":1304},{""page_index"":5,""viewing_time"":35136},{""page_index"":6,""viewing_time"":6824}]","80573","","","","","","","","","","","","",""
"","survey-multi-choice","11","337779","0.0-4.1-1.1","","12631","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们可以吃"",""Q2"":""斑点价值0分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","12","345459","0.0-4.1-2.1","","7678","","{""Q0"":""0"",""Q1"":""2"",""Q2"":""-2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","13","354618","0.0-4.1-3.1","","9157","","{""Q0"":""0"",""Q1"":""1"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","14","378530","0.0-4.1-4.1","","23911","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-3"",""Q3"":""3""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","15","394411","0.0-4.1-5.1","","15878","","{""Q0"":""-1"",""Q1"":""2"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","html-button-response","16","396506","0.0-5.0","","2092","
    <div class=""break-container"">
        <p class=""break-message"">🎉太棒了</p>
        <p class=""break-message"">你通过了所有的测验，获得了导游资格证🎫</p>
        <p class=""break-message"">现在，点击下方按钮，正式开始接待游客</p>
    </div>
    ","0","","unbias","[{""绿"":2},{""红"":0},{""蓝"":-2},{""斑点"":0},{""条纹"":1},{""纯色"":-1}]","","","","","","","",""
"","survey-html-form","17","409266","0.0-6.0","","12757","","{""feature"":""条纹"",""value"":""2""}","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":0}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":-3}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","条纹","2","","",""
"","survey-multi-choice","18","412467","0.0-7.0","","3201","","{""Q0"":""E""}","[0]","","","","","","","","E","E","pass"
"","survey-html-form","19","433075","0.0-8.0","","20606","","{""feature"":""绿色"",""value"":""2""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":1}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":3}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","绿色","2","","",""
"","survey-html-form","20","445197","0.0-9.0","","12118","","{""feature"":""蓝色"",""value"":""-2""}","","","","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":3}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":-2}","蓝色","-2","","",""
"","survey-html-form","21","452291","0.0-10.0","","7093","","{""feature"":""斑点"",""value"":""1""}","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":-1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":1}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":2}","斑点","1","","",""
"","survey-html-form","22","465075","0.0-11.0","","12782","","{""feature"":""斑点"",""value"":""0""}","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":0}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":-3}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":1}","斑点","0","","",""
"","survey-html-form","23","481243","0.0-12.0","","16166","","{""feature"":""条纹"",""value"":""1""}","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":0}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":3}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":-2}","条纹","1","","",""
"","survey-html-form","24","486971","0.0-13.0","","5727","","{""feature"":""蓝色"",""value"":""-2""}","","","","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":-3}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":1}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":2}","蓝色","-2","","",""
"","survey-multi-choice","25","489371","0.0-14.0","","2400","","{""Q0"":""U""}","[0]","","","","","","","","U","U","pass"
"","survey-html-form","26","501811","0.0-15.0","","12438","","{""feature"":""纯色"",""value"":""-1""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":-2}","纯色","-1","","",""
"","survey-html-form","27","506242","0.0-16.0","","4429","","{""feature"":""纯色"",""value"":""-1""}","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":-1}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":3}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","纯色","-1","","",""
"","survey-multi-choice","28","508683","0.0-17.0","","2440","","{""Q0"":""X""}","[0]","","","","","","","","X","X","pass"
"","survey-html-form","29","515754","0.0-18.0","","7068","","{""feature"":""斑点"",""value"":""0""}","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":0}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":-1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":1}","斑点","0","","",""
"","survey-multi-choice","30","517778","0.0-19.0","","2024","","{""Q0"":""S""}","[0]","","","","","","","","S","S","pass"
"","survey-html-form","31","526434","0.0-20.0","","8654","","{""feature"":""纯色"",""value"":""-1""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":1}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":-3}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":2}","纯色","-1","","",""
"","survey-html-form","32","531331","0.0-21.0","","4896","","{""feature"":""条纹"",""value"":""1""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":1}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":-1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","条纹","1","","",""
"","survey-html-form","33","539820","0.0-22.0","","8487","","{""feature"":""绿色"",""value"":""2""}","","","","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":-3}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":2}","绿色","2","","",""
"","survey-html-form","34","593578","0.0-23.0","","53757","","{""feature"":""条纹"",""value"":""1""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":-2}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":2}","条纹","1","","",""
"","survey-multi-choice","35","595795","0.0-24.0","","2216","","{""Q0"":""F""}","[0]","","","","","","","","F","F","pass"
"","survey-html-form","36","606242","0.0-25.0","","10445","","{""feature"":""纯色"",""value"":""-1""}","","","","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":-3}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":-1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":1}","纯色","-1","","",""
"","survey-multi-choice","37","608914","0.0-26.0","","2671","","{""Q0"":""P""}","[0]","","","","","","","","P","P","pass"
"","survey-html-form","38","615754","0.0-27.0","","6838","","{""feature"":""条纹"",""value"":""1""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":1}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":-1}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":3}","条纹","1","","",""
"","survey-html-form","39","623826","0.0-28.0","","8071","","{""feature"":""条纹"",""value"":""1""}","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":0}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":-2}","条纹","1","","",""
"","survey-html-form","40","632906","0.0-29.0","","9079","","{""feature"":""绿色"",""value"":""2""}","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":0}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":1}","绿色","2","","",""
"","survey-html-form","41","640699","0.0-30.0","","7791","","{""feature"":""绿色"",""value"":""2""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":1}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":-1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":1}","绿色","2","","",""
"","survey-multi-choice","42","643779","0.0-31.0","","3080","","{""Q0"":""S""}","[0]","","","","","","","","S","S","pass"
