﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","attentionStimuli","attentionChoice","attentionCheck","mushroom1","mushroom2","mushroom3","feature","value"
"true","fullscreen","0","3555","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","12370","0.0-1.0","[{""page_index"":0,""viewing_time"":3700},{""page_index"":1,""viewing_time"":3378},{""page_index"":2,""viewing_time"":1734}]","8811","","","","","","","","","","","","",""
"","html-button-response","2","14773","0.0-2.0","","2400","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","16514","0.0-3.0","","1739","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","105220","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":8406},{""page_index"":1,""viewing_time"":3437},{""page_index"":2,""viewing_time"":3146},{""page_index"":3,""viewing_time"":40117},{""page_index"":4,""viewing_time"":2723},{""page_index"":5,""viewing_time"":26433},{""page_index"":6,""viewing_time"":4443}]","88705","","","","","","","","","","","","",""
"","survey-multi-choice","5","115067","0.0-4.0-1.0","","9843","","{""Q0"":""确保游客选到最美味的蘑菇"",""Q1"":""可以，撒谎是允许的"",""Q2"":""重要，我们希望游客选到最美味的蘑菇""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","125117","0.0-4.0-2.0","","10044","","{""Q0"":""-2"",""Q1"":""0"",""Q2"":""2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","139939","0.0-4.0-3.0","","14816","","{""Q0"":""-1"",""Q1"":""-2"",""Q2"":""1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","152147","0.0-4.0-4.0","","12203","","{""Q0"":""3"",""Q1"":""3"",""Q2"":""-2"",""Q3"":""2""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","167752","0.0-4.0-5.0","","15599","","{""Q0"":""0"",""Q1"":""1"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","instructions","10","203159","0.0-4.1-0.1","[{""page_index"":0,""viewing_time"":2352},{""page_index"":1,""viewing_time"":1226},{""page_index"":2,""viewing_time"":1250},{""page_index"":3,""viewing_time"":10857},{""page_index"":4,""viewing_time"":3154},{""page_index"":5,""viewing_time"":12739},{""page_index"":6,""viewing_time"":3824}]","35402","","","","","","","","","","","","",""
"","survey-multi-choice","11","213829","0.0-4.1-1.1","","10668","","{""Q0"":""确保游客选到最美味的蘑菇"",""Q1"":""可以，撒谎是允许的"",""Q2"":""重要，我们希望游客选到最美味的蘑菇""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","12","226824","0.0-4.1-2.1","","12990","","{""Q0"":""-2"",""Q1"":""0"",""Q2"":""2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","13","236370","0.0-4.1-3.1","","9541","","{""Q0"":""0"",""Q1"":""-1"",""Q2"":""1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","14","260137","0.0-4.1-4.1","","23762","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-3"",""Q3"":""3""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","15","272212","0.0-4.1-5.1","","12071","","{""Q0"":""1"",""Q1"":""0"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","html-button-response","16","273425","0.0-5.0","","1203","
    <div class=""break-container"">
        <p class=""break-message"">🎉太棒了</p>
        <p class=""break-message"">你通过了所有的测验，获得了导游资格证🎫</p>
        <p class=""break-message"">现在，点击下方按钮，正式开始接待游客</p>
    </div>
    ","0","","relevance","[{""绿"":0},{""红"":-2},{""蓝"":2},{""斑点"":0},{""条纹"":-1},{""纯色"":1}]","","","","","","","",""
"","survey-multi-choice","17","280539","0.0-6.0","","7113","","{""Q0"":""V""}","[0]","","","V","V","pass","","","","",""
"","survey-html-form","18","315256","0.0-7.0","","34706","","{""feature"":""斑点"",""value"":""0""}","","","","","","","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":-1}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":0}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-3}","斑点","0"
"","survey-multi-choice","19","318087","0.0-8.0","","2830","","{""Q0"":""G""}","[0]","","","G","G","pass","","","","",""
"","survey-html-form","20","331455","0.0-9.0","","13361","","{""feature"":""蓝色"",""value"":""2""}","","","","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":-2}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":0}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":2}","蓝色","2"
"","survey-html-form","21","348668","0.0-10.0","","17210","","{""feature"":""蓝色"",""value"":""2""}","","","","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":-2}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":2}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-3}","蓝色","2"
"","survey-html-form","22","357427","0.0-11.0","","8754","","{""feature"":""绿色"",""value"":""0""}","","","","","","","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":-1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":1}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-3}","绿色","0"
"","survey-html-form","23","370092","0.0-12.0","","12662","","{""feature"":""斑点"",""value"":""0""}","","","","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":-2}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":0}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-3}","斑点","0"
"","survey-html-form","24","376342","0.0-13.0","","6247","","{""feature"":""斑点"",""value"":""0""}","","","","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":-2}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":2}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":1}","斑点","0"
