﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","mushroom1","mushroom2","mushroom3","feature","value","attentionStimuli","attentionChoice","attentionCheck"
"true","fullscreen","0","3801","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","14974","0.0-1.0","[{""page_index"":0,""viewing_time"":3777},{""page_index"":1,""viewing_time"":4379},{""page_index"":2,""viewing_time"":3016}]","11172","","","","","","","","","","","","",""
"","html-button-response","2","16631","0.0-2.0","","1656","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","17935","0.0-3.0","","1303","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","153794","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":11280},{""page_index"":1,""viewing_time"":3146},{""page_index"":2,""viewing_time"":20120},{""page_index"":3,""viewing_time"":29653},{""page_index"":4,""viewing_time"":7131},{""page_index"":5,""viewing_time"":57872},{""page_index"":6,""viewing_time"":6656}]","135858","","","","","","","","","","","","",""
"","survey-multi-choice","5","165401","0.0-4.0-1.0","","11606","","{""Q0"":""教会游客关于蘑菇特征的事实"",""Q1"":""不可以，撒谎是不被允许的"",""Q2"":""重要，我们希望游客选到最美味的蘑菇""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","180575","0.0-4.0-2.0","","15173","","{""Q0"":""1"",""Q1"":""-1"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","195095","0.0-4.0-3.0","","14519","","{""Q0"":""2"",""Q1"":""0"",""Q2"":""-2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","211792","0.0-4.0-4.0","","16696","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-3"",""Q3"":""3""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","222784","0.0-4.0-5.0","","10990","","{""Q0"":""0"",""Q1"":""1"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","instructions","10","348957","0.0-4.1-0.1","[{""page_index"":0,""viewing_time"":6498},{""page_index"":1,""viewing_time"":3844},{""page_index"":2,""viewing_time"":1176},{""page_index"":1,""viewing_time"":768},{""page_index"":0,""viewing_time"":5663},{""page_index"":1,""viewing_time"":1517},{""page_index"":2,""viewing_time"":6557},{""page_index"":3,""viewing_time"":4862},{""page_index"":4,""viewing_time"":7437},{""page_index"":5,""viewing_time"":24285},{""page_index"":6,""viewing_time"":9298},{""page_index"":5,""viewing_time"":2387},{""page_index"":4,""viewing_time"":1078},{""page_index"":3,""viewing_time"":961},{""page_index"":2,""viewing_time"":1027},{""page_index"":1,""viewing_time"":1922},{""page_index"":0,""viewing_time"":11399},{""page_index"":1,""viewing_time"":3851},{""page_index"":2,""viewing_time"":4836},{""page_index"":3,""viewing_time"":4963},{""page_index"":4,""viewing_time"":4673},{""page_index"":5,""viewing_time"":14699},{""page_index"":6,""viewing_time"":2473}]","126172","","","","","","","","","","","","",""
"","survey-multi-choice","11","385316","0.0-4.1-1.1","","36358","","{""Q0"":""教会游客关于蘑菇特征的事实"",""Q1"":""不可以，撒谎是不被允许的"",""Q2"":""不重要，游客选择什么蘑菇不重要""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","12","397637","0.0-4.1-2.1","","12319","","{""Q0"":""1"",""Q1"":""-1"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","13","406051","0.0-4.1-3.1","","8413","","{""Q0"":""2"",""Q1"":""0"",""Q2"":""-2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","14","418302","0.0-4.1-4.1","","12250","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-3"",""Q3"":""3""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","15","429298","0.0-4.1-5.1","","10994","","{""Q0"":""0"",""Q1"":""1"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","html-button-response","16","433016","0.0-5.0","","3716","
    <div class=""break-container"">
        <p class=""break-message"">🎉太棒了</p>
        <p class=""break-message"">你通过了所有的测验，获得了导游资格证🎫</p>
        <p class=""break-message"">现在，点击下方按钮，正式开始接待游客</p>
    </div>
    ","0","","truth","[{""绿"":-1},{""红"":1},{""蓝"":0},{""斑点"":2},{""条纹"":0},{""纯色"":-2}]","","","","","","","",""
"","survey-html-form","17","454761","0.0-6.0","","21742","","{""feature"":""红色"",""value"":""1""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":0}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":3}","红色","1","","",""
"","survey-html-form","18","465910","0.0-7.0","","11147","","{""feature"":""蓝色"",""value"":""0""}","","","","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":0}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":-1}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":3}","蓝色","0","","",""
"","survey-html-form","19","475048","0.0-8.0","","9136","","{""feature"":""蓝色"",""value"":""0""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":1}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":-2}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":0}","蓝色","0","","",""
"","survey-html-form","20","480134","0.0-9.0","","5085","","{""feature"":""红色"",""value"":""1""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":1}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":-2}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":-1}","红色","1","","",""
