﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","mushroom1","mushroom2","mushroom3","feature","value","attentionStimuli","attentionChoice","attentionCheck"
"true","fullscreen","0","2374","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","58949","0.0-1.0","[{""page_index"":0,""viewing_time"":2222},{""page_index"":1,""viewing_time"":45599},{""page_index"":2,""viewing_time"":8753}]","56574","","","","","","","","","","","","",""
"","html-button-response","2","63934","0.0-2.0","","4983","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","67325","0.0-3.0","","3391","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","226421","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":25702},{""page_index"":1,""viewing_time"":17024},{""page_index"":2,""viewing_time"":36760},{""page_index"":3,""viewing_time"":18648},{""page_index"":4,""viewing_time"":5680},{""page_index"":5,""viewing_time"":44104},{""page_index"":6,""viewing_time"":11176}]","159095","","","","","","","","","","","","",""
"","survey-multi-choice","5","238702","0.0-4.0-1.0","","12279","","{""Q0"":""教会游客关于蘑菇特征的事实"",""Q1"":""不可以，撒谎是不被允许的"",""Q2"":""不重要，游客选择什么蘑菇不重要""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","251095","0.0-4.0-2.0","","12391","","{""Q0"":""0"",""Q1"":""-2"",""Q2"":""2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","258967","0.0-4.0-3.0","","7871","","{""Q0"":""1"",""Q1"":""-1"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","285447","0.0-4.0-4.0","","26479","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-3"",""Q3"":""3""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","303807","0.0-4.0-5.0","","18359","","{""Q0"":""1"",""Q1"":""-1"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","html-button-response","10","307054","0.0-5.0","","3243","
    <div class=""break-container"">
        <p class=""break-message"">🎉太棒了</p>
        <p class=""break-message"">你通过了所有的测验，获得了导游资格证🎫</p>
        <p class=""break-message"">现在，点击下方按钮，正式开始接待游客</p>
    </div>
    ","0","","truth","[{""绿"":-2},{""红"":0},{""蓝"":2},{""斑点"":1},{""条纹"":-1},{""纯色"":0}]","","","","","","","",""
"","survey-html-form","11","324550","0.0-6.0","","17494","","{""feature"":""蓝色"",""value"":""2""}","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":0}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":2}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":-2}","蓝色","2","","",""
"","survey-multi-choice","12","329254","0.0-7.0","","4703","","{""Q0"":""R""}","[0]","","","","","","","","R","R","pass"
"","survey-html-form","13","345198","0.0-8.0","","15942","","{""feature"":""斑点"",""value"":""1""}","","","","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":-3}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":3}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-1}","斑点","1","","",""
"","survey-html-form","14","368734","0.0-9.0","","23534","","{""feature"":""条纹"",""value"":""-1""}","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":0}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":-3}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-1}","条纹","-1","","",""
"","survey-html-form","15","381974","0.0-10.0","","13239","","{""feature"":""绿色"",""value"":""-2""}","","","","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":1}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":2}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":-2}","绿色","-2","","",""
"","survey-html-form","16","392606","0.0-11.0","","10630","","{""feature"":""蓝色"",""value"":""2""}","","","","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":2}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":-2}","蓝色","2","","",""
"","survey-multi-choice","17","394902","0.0-12.0","","2295","","{""Q0"":""R""}","[0]","","","","","","","","R","R","pass"
"","survey-html-form","18","410022","0.0-13.0","","15118","","{""feature"":""蓝色"",""value"":""2""}","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":0}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":3}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":-2}","蓝色","2","","",""
"","survey-html-form","19","421262","0.0-14.0","","11238","","{""feature"":""绿色"",""value"":""-2""}","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":0}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":-2}","绿色","-2","","",""
"","survey-html-form","20","432270","0.0-15.0","","11006","","{""feature"":""蓝色"",""value"":""2""}","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":0}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":3}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-1}","蓝色","2","","",""
"","survey-html-form","21","440854","0.0-16.0","","8583","","{""feature"":""蓝色"",""value"":""2""}","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":0}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":3}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":1}","蓝色","2","","",""
"","survey-html-form","22","454342","0.0-17.0","","13486","","{""feature"":""蓝色"",""value"":""2""}","","","","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":-1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":3}","蓝色","2","","",""
"","survey-html-form","23","467381","0.0-18.0","","13038","","{""feature"":""斑点"",""value"":""1""}","","","","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":2}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":3}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-1}","斑点","1","","",""
"","survey-multi-choice","24","470142","0.0-19.0","","2760","","{""Q0"":""I""}","[0]","","","","","","","","I","I","pass"
