﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","attentionStimuli","attentionChoice","attentionCheck","mushroom1","mushroom2","mushroom3","feature","value"
"true","fullscreen","0","6547","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","46761","0.0-1.0","[{""page_index"":0,""viewing_time"":2968},{""page_index"":1,""viewing_time"":25800},{""page_index"":2,""viewing_time"":11444}]","40212","","","","","","","","","","","","",""
"","html-button-response","2","51171","0.0-2.0","","4407","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","59376","0.0-3.0","","8203","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","1041337","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":16865},{""page_index"":1,""viewing_time"":19628},{""page_index"":2,""viewing_time"":77749},{""page_index"":3,""viewing_time"":272460},{""page_index"":4,""viewing_time"":7246},{""page_index"":5,""viewing_time"":573010},{""page_index"":6,""viewing_time"":15001}]","981960","","","","","","","","","","","","",""
"","survey-multi-choice","5","1078532","0.0-4.0-1.0","","37192","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们可以吃"",""Q2"":""斑点价值-2分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","1090995","0.0-4.0-2.0","","12460","","{""Q0"":""0"",""Q1"":""1"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","1121625","0.0-4.0-3.0","","30626","","{""Q0"":""-2"",""Q1"":""0"",""Q2"":""2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","1182735","0.0-4.0-4.0","","61108","","{""Q0"":""5"",""Q1"":""3"",""Q2"":""-3"",""Q3"":""3""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","1198987","0.0-4.0-5.0","","16249","","{""Q0"":""-1"",""Q1"":""-1"",""Q2"":""2""}","[0,1,2]","","","","","","","","","",""
"","instructions","10","1326432","0.0-4.1-0.1","[{""page_index"":0,""viewing_time"":5981},{""page_index"":1,""viewing_time"":2579},{""page_index"":2,""viewing_time"":13620},{""page_index"":3,""viewing_time"":3907},{""page_index"":4,""viewing_time"":2590},{""page_index"":5,""viewing_time"":95862},{""page_index"":6,""viewing_time"":2903}]","127443","","","","","","","","","","","","",""
"","survey-multi-choice","11","1334145","0.0-4.1-1.1","","7707","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们可以吃"",""Q2"":""斑点价值-2分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","12","1345251","0.0-4.1-2.1","","11103","","{""Q0"":""0"",""Q1"":""1"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","13","1356254","0.0-4.1-3.1","","10999","","{""Q0"":""-2"",""Q1"":""0"",""Q2"":""2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","14","1382018","0.0-4.1-4.1","","25760","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-3"",""Q3"":""3""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","15","1406999","0.0-4.1-5.1","","24979","","{""Q0"":""-1"",""Q1"":""-1"",""Q2"":""2""}","[0,1,2]","","","","","","","","","",""
"","html-button-response","16","1409142","0.0-5.0","","2136","
    <div class=""break-container"">
        <p class=""break-message"">🎉太棒了</p>
        <p class=""break-message"">你通过了所有的测验，获得了导游资格证🎫</p>
        <p class=""break-message"">现在，点击下方按钮，正式开始接待游客</p>
    </div>
    ","0","","unbias","[{""绿"":1},{""红"":0},{""蓝"":-1},{""斑点"":-2},{""条纹"":0},{""纯色"":2}]","","","","","","","",""
"","survey-multi-choice","17","1424615","0.0-6.0","","15471","","{""Q0"":""L""}","[0]","","","L","L","pass","","","","",""
"","survey-html-form","18","1440252","0.0-7.0","","15631","","{""feature"":""蓝色"",""value"":""-1""}","","","","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":2}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":-3}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":-1}","蓝色","-1"
"","survey-html-form","19","1509236","0.0-8.0","","68980","","{""feature"":""斑点"",""value"":""-2""}","","","","","","","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":-3}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","斑点","-2"
"","survey-html-form","20","1540256","0.0-9.0","","31016","","{""feature"":""条纹"",""value"":""0""}","","","","","","","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":1}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":-2}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","条纹","0"
"","survey-html-form","21","1563896","0.0-10.0","","23635","","{""feature"":""纯色"",""value"":""2""}","","","","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":3}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","纯色","2"
"","survey-multi-choice","22","1567588","0.0-11.0","","3690","","{""Q0"":""M""}","[0]","","","M","M","pass","","","","",""
"","survey-html-form","23","1583262","0.0-12.0","","15668","","{""feature"":""红色"",""value"":""0""}","","","","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":3}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":0}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":1}","红色","0"
"","survey-html-form","24","1603998","0.0-13.0","","20733","","{""feature"":""绿色"",""value"":""1""}","","","","","","","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":-3}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":1}","绿色","1"
"","survey-html-form","25","1627962","0.0-14.0","","23959","","{""feature"":""纯色"",""value"":""2""}","","","","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":3}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":2}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":-2}","纯色","2"
"","survey-html-form","26","1659267","0.0-15.0","","31300","","{""feature"":""条纹"",""value"":""0""}","","","","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":0}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":-3}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":1}","条纹","0"
"","survey-html-form","27","1688996","0.0-16.0","","29726","","{""feature"":""绿色"",""value"":""1""}","","","","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":0}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":-1}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":1}","绿色","1"
"","survey-html-form","28","1714083","0.0-17.0","","25081","","{""feature"":""条纹"",""value"":""0""}","","","","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":0}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","条纹","0"
"","survey-html-form","29","1748119","0.0-18.0","","34032","","{""feature"":""纯色"",""value"":""1""}","","","","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":3}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":-1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","纯色","1"
"","survey-html-form","30","1767445","0.0-19.0","","19321","","{""feature"":""斑点"",""value"":""-2""}","","","","","","","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":-3}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":-2}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":1}","斑点","-2"
"","survey-html-form","31","1789652","0.0-20.0","","22204","","{""feature"":""蓝色"",""value"":""-1""}","","","","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":2}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":-3}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","蓝色","-1"
"","survey-multi-choice","32","1792414","0.0-21.0","","2760","","{""Q0"":""T""}","[0]","","","T","T","pass","","","","",""
