﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","attentionStimuli","attentionChoice","attentionCheck","mushroom1","mushroom2","mushroom3","feature","value"
"true","fullscreen","0","2870","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","37709","0.0-1.0","[{""page_index"":0,""viewing_time"":4845},{""page_index"":1,""viewing_time"":1224},{""page_index"":2,""viewing_time"":28768}]","34838","","","","","","","","","","","","",""
"","html-button-response","2","40109","0.0-2.0","","2399","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","41893","0.0-3.0","","1784","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","101618","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":1774},{""page_index"":1,""viewing_time"":1536},{""page_index"":2,""viewing_time"":3632},{""page_index"":3,""viewing_time"":1872},{""page_index"":4,""viewing_time"":6448},{""page_index"":5,""viewing_time"":34144},{""page_index"":6,""viewing_time"":10320}]","59727","","","","","","","","","","","","",""
"","survey-multi-choice","5","177438","0.0-4.0-1.0","","75823","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们可以吃"",""Q2"":""斑点价值1分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","198871","0.0-4.0-2.0","","21431","","{""Q0"":""0"",""Q1"":""1"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","209359","0.0-4.0-3.0","","10487","","{""Q0"":""-2"",""Q1"":""0"",""Q2"":""2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","218663","0.0-4.0-4.0","","9303","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-3"",""Q3"":""3""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","242077","0.0-4.0-5.0","","23415","","{""Q0"":""-1"",""Q1"":""-1"",""Q2"":""2""}","[0,1,2]","","","","","","","","","",""
"","instructions","10","1361508","0.0-4.1-0.1","[{""page_index"":0,""viewing_time"":3254},{""page_index"":1,""viewing_time"":1200},{""page_index"":2,""viewing_time"":1912},{""page_index"":1,""viewing_time"":576},{""page_index"":0,""viewing_time"":8968},{""page_index"":1,""viewing_time"":2928},{""page_index"":2,""viewing_time"":5935},{""page_index"":3,""viewing_time"":6064},{""page_index"":4,""viewing_time"":3168},{""page_index"":5,""viewing_time"":1083856},{""page_index"":6,""viewing_time"":1601}]","1119463","","","","","","","","","","","","",""
"","survey-multi-choice","11","1426348","0.0-4.1-1.1","","64841","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们可以吃"",""Q2"":""斑点价值1分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","12","1441186","0.0-4.1-2.1","","14838","","{""Q0"":""-2"",""Q1"":""2"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","13","1452042","0.0-4.1-3.1","","10855","","{""Q0"":""1"",""Q1"":""-1"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","14","1457676","0.0-4.1-4.1","","5633","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-3"",""Q3"":""3""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","15","1495793","0.0-4.1-5.1","","38118","","{""Q0"":""-1"",""Q1"":""3"",""Q2"":""-2""}","[0,1,2]","","","","","","","","","",""
"","html-button-response","16","1497864","0.0-5.0","","2068","
    <div class=""break-container"">
        <p class=""break-message"">🎉太棒了</p>
        <p class=""break-message"">你通过了所有的测验，获得了导游资格证🎫</p>
        <p class=""break-message"">现在，点击下方按钮，正式开始接待游客</p>
    </div>
    ","0","","unbias","[{""绿"":2},{""红"":-2},{""蓝"":0},{""斑点"":1},{""条纹"":-1},{""纯色"":0}]","","","","","","","",""
"","survey-multi-choice","17","1524337","0.0-6.0","","26472","","{""Q0"":""L""}","[0]","","","L","L","pass","","","","",""
"","survey-html-form","18","1562601","0.0-7.0","","38262","","{""feature"":""斑点"",""value"":""1""}","","","","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":-1}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-3}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":-2}","斑点","1"
"","survey-multi-choice","19","1564888","0.0-8.0","","2287","","{""Q0"":""G""}","[0]","","","G","G","pass","","","","",""
"","survey-html-form","20","1575719","0.0-9.0","","10829","","{""feature"":""斑点"",""value"":""1""}","","","","","","","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":3}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":-1}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":-2}","斑点","1"
"","survey-html-form","21","1595047","0.0-10.0","","19325","","{""feature"":""斑点"",""value"":""1""}","","","","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":-1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":2}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":1}","斑点","1"
"","survey-multi-choice","22","1597223","0.0-11.0","","2176","","{""Q0"":""L""}","[0]","","","L","L","pass","","","","",""
"","survey-html-form","23","1608774","0.0-12.0","","11551","","{""feature"":""条纹"",""value"":""-1""}","","","","","","","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":1}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":-2}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":1}","条纹","-1"
"","survey-html-form","24","1621245","0.0-13.0","","12470","","{""feature"":""纯色"",""value"":""0""}","","","","","","","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":2}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":0}","纯色","0"
"","survey-html-form","25","1633414","0.0-14.0","","12167","","{""feature"":""纯色"",""value"":""0""}","","","","","","","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":3}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":2}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":0}","纯色","0"
"","survey-html-form","26","1646669","0.0-15.0","","13254","","{""feature"":""斑点"",""value"":""-1""}","","","","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":-1}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":1}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":-2}","斑点","-1"
"","survey-html-form","27","1653382","0.0-16.0","","6711","","{""feature"":""斑点"",""value"":""1""}","","","","","","","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":3}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":2}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":-2}","斑点","1"
"","survey-multi-choice","28","1655158","0.0-17.0","","1776","","{""Q0"":""E""}","[0]","","","E","E","pass","","","","",""
