﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","attentionStimuli","attentionChoice","attentionCheck","mushroom1","mushroom2","mushroom3","feature","value"
"true","fullscreen","0","2145","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","20314","0.0-1.0","[{""page_index"":0,""viewing_time"":1222},{""page_index"":1,""viewing_time"":2097},{""page_index"":2,""viewing_time"":14847}]","18166","","","","","","","","","","","","",""
"","html-button-response","2","21603","0.0-2.0","","1286","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","22818","0.0-3.0","","1214","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","118898","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":16797},{""page_index"":1,""viewing_time"":1352},{""page_index"":2,""viewing_time"":2240},{""page_index"":3,""viewing_time"":2200},{""page_index"":4,""viewing_time"":3728},{""page_index"":5,""viewing_time"":9169},{""page_index"":6,""viewing_time"":3240},{""page_index"":5,""viewing_time"":5961},{""page_index"":6,""viewing_time"":1487},{""page_index"":5,""viewing_time"":3146},{""page_index"":4,""viewing_time"":999},{""page_index"":3,""viewing_time"":22247},{""page_index"":2,""viewing_time"":7281},{""page_index"":1,""viewing_time"":1746},{""page_index"":0,""viewing_time"":3750},{""page_index"":1,""viewing_time"":1151},{""page_index"":2,""viewing_time"":833},{""page_index"":3,""viewing_time"":1656},{""page_index"":4,""viewing_time"":1384},{""page_index"":5,""viewing_time"":4215},{""page_index"":6,""viewing_time"":1497}]","96078","","","","","","","","","","","","",""
"","survey-multi-choice","5","134628","0.0-4.0-1.0","","15727","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们可以吃"",""Q2"":""斑点价值2分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","145708","0.0-4.0-2.0","","11078","","{""Q0"":""-1"",""Q1"":""1"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","156372","0.0-4.0-3.0","","10661","","{""Q0"":""2"",""Q1"":""0"",""Q2"":""-2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","173487","0.0-4.0-4.0","","17112","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-3"",""Q3"":""3""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","189109","0.0-4.0-5.0","","15621","","{""Q0"":""0"",""Q1"":""3"",""Q2"":""-3""}","[0,1,2]","","","","","","","","","",""
