﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","mushroom1","mushroom2","mushroom3","feature","value","attentionStimuli","attentionChoice","attentionCheck"
"true","fullscreen","0","1843","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","10324","0.0-1.0","[{""page_index"":0,""viewing_time"":6341},{""page_index"":1,""viewing_time"":1294},{""page_index"":2,""viewing_time"":846}]","8481","","","","","","","","","","","","",""
"","html-button-response","2","11701","0.0-2.0","","1376","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","13356","0.0-3.0","","1654","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","41275","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":1321},{""page_index"":1,""viewing_time"":881},{""page_index"":2,""viewing_time"":688},{""page_index"":3,""viewing_time"":825},{""page_index"":4,""viewing_time"":783},{""page_index"":5,""viewing_time"":21968},{""page_index"":6,""viewing_time"":1452}]","27918","","","","","","","","","","","","",""
"","survey-multi-choice","5","66014","0.0-4.0-1.0","","24737","","{""Q0"":""教会游客关于蘑菇特征的事实"",""Q1"":""可以，撒谎是允许的"",""Q2"":""重要，我们希望游客选到最美味的蘑菇""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","74838","0.0-4.0-2.0","","8822","","{""Q0"":""-1"",""Q1"":""0"",""Q2"":""1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","81841","0.0-4.0-3.0","","7001","","{""Q0"":""0"",""Q1"":""2"",""Q2"":""-2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","87113","0.0-4.0-4.0","","5270","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-3"",""Q3"":""3""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","97020","0.0-4.0-5.0","","9905","","{""Q0"":""3"",""Q1"":""0"",""Q2"":""-3""}","[0,1,2]","","","","","","","","","",""
"","instructions","10","131960","0.0-4.1-0.1","[{""page_index"":0,""viewing_time"":14452},{""page_index"":1,""viewing_time"":2800},{""page_index"":2,""viewing_time"":3920},{""page_index"":3,""viewing_time"":2883},{""page_index"":4,""viewing_time"":2815},{""page_index"":5,""viewing_time"":7019},{""page_index"":6,""viewing_time"":1048}]","34938","","","","","","","","","","","","",""
"","survey-multi-choice","11","161546","0.0-4.1-1.1","","29585","","{""Q0"":""教会游客关于蘑菇特征的事实"",""Q1"":""不可以，撒谎是不被允许的"",""Q2"":""不重要，游客选择什么蘑菇不重要""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","12","169827","0.0-4.1-2.1","","8279","","{""Q0"":""1"",""Q1"":""-1"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","13","178780","0.0-4.1-3.1","","8951","","{""Q0"":""2"",""Q1"":""-2"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","14","190402","0.0-4.1-4.1","","11620","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-3"",""Q3"":""3""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","15","198104","0.0-4.1-5.1","","7701","","{""Q0"":""-2"",""Q1"":""1"",""Q2"":""1""}","[0,1,2]","","","","","","","","","",""
"","html-button-response","16","198827","0.0-5.0","","719","
    <div class=""break-container"">
        <p class=""break-message"">🎉太棒了</p>
        <p class=""break-message"">你通过了所有的测验，获得了导游资格证🎫</p>
        <p class=""break-message"">现在，点击下方按钮，正式开始接待游客</p>
    </div>
    ","0","","truth","[{""绿"":-1},{""红"":1},{""蓝"":0},{""斑点"":2},{""条纹"":-2},{""纯色"":0}]","","","","","","","",""
"","survey-html-form","17","214626","0.0-6.0","","15798","","{""feature"":""红色"",""value"":""1""}","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":-1}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-1}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":-3}","红色","1","","",""
"","survey-multi-choice","18","216941","0.0-7.0","","2314","","{""Q0"":""S""}","[0]","","","","","","","","S","S","pass"
"","survey-html-form","19","221193","0.0-8.0","","4250","","{""feature"":""斑点"",""value"":""2""}","","","","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":1}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":0}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-2}","斑点","2","","",""
"","survey-html-form","20","232804","0.0-9.0","","11609","","{""feature"":""斑点"",""value"":""2""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-1}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":3}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":-3}","斑点","2","","",""
"","survey-multi-choice","21","234568","0.0-10.0","","1763","","{""Q0"":""M""}","[0]","","","","","","","","M","M","pass"
"","survey-html-form","22","239781","0.0-11.0","","5211","","{""feature"":""斑点"",""value"":""2""}","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":-1}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":3}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-2}","斑点","2","","",""
"","survey-html-form","23","246831","0.0-12.0","","7048","","{""feature"":""斑点"",""value"":""2""}","","","","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":1}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":1}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":3}","斑点","2","","",""
"","survey-multi-choice","24","248629","0.0-13.0","","1797","","{""Q0"":""O""}","[0]","","","","","","","","O","O","pass"
"","survey-html-form","25","254851","0.0-14.0","","6219","","{""feature"":""红色"",""value"":""1""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-1}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":-3}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-2}","红色","1","","",""
"","survey-multi-choice","26","256518","0.0-15.0","","1667","","{""Q0"":""F""}","[0]","","","","","","","","F","F","pass"
"","survey-html-form","27","261127","0.0-16.0","","4607","","{""feature"":""斑点"",""value"":""2""}","","","","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":-1}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-1}","斑点","2","","",""
