﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","mushroom1","mushroom2","mushroom3","feature","value","attentionStimuli","attentionChoice","attentionCheck"
"true","fullscreen","0","3886","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","15300","0.0-1.0","[{""page_index"":0,""viewing_time"":2381},{""page_index"":1,""viewing_time"":6360},{""page_index"":2,""viewing_time"":2672}]","11413","","","","","","","","","","","","",""
"","html-button-response","2","18085","0.0-2.0","","2783","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","20676","0.0-3.0","","2591","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","274054","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":17855},{""page_index"":1,""viewing_time"":14120},{""page_index"":2,""viewing_time"":73930},{""page_index"":3,""viewing_time"":49422},{""page_index"":4,""viewing_time"":18184},{""page_index"":5,""viewing_time"":68025},{""page_index"":6,""viewing_time"":11842}]","253378","","","","","","","","","","","","",""
"","survey-multi-choice","5","311579","0.0-4.0-1.0","","37524","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们可以吃"",""Q2"":""斑点价值2分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","319209","0.0-4.0-2.0","","7630","","{""Q0"":""-1"",""Q1"":""0"",""Q2"":""1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","336593","0.0-4.0-3.0","","17382","","{""Q0"":""2"",""Q1"":""-2"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","371345","0.0-4.0-4.0","","34750","","{""Q0"":""3"",""Q1"":""3"",""Q2"":""-3"",""Q3"":""3""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","385715","0.0-4.0-5.0","","14366","","{""Q0"":""-1"",""Q1"":""2"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","instructions","10","512371","0.0-4.1-0.1","[{""page_index"":0,""viewing_time"":7813},{""page_index"":1,""viewing_time"":2713},{""page_index"":2,""viewing_time"":3304},{""page_index"":3,""viewing_time"":3160},{""page_index"":4,""viewing_time"":2776},{""page_index"":5,""viewing_time"":4496},{""page_index"":6,""viewing_time"":5999},{""page_index"":5,""viewing_time"":7568},{""page_index"":4,""viewing_time"":1201},{""page_index"":3,""viewing_time"":1832},{""page_index"":2,""viewing_time"":1280},{""page_index"":1,""viewing_time"":928},{""page_index"":0,""viewing_time"":22104},{""page_index"":1,""viewing_time"":12465},{""page_index"":2,""viewing_time"":3432},{""page_index"":3,""viewing_time"":5432},{""page_index"":4,""viewing_time"":9288},{""page_index"":5,""viewing_time"":21057},{""page_index"":4,""viewing_time"":1810},{""page_index"":3,""viewing_time"":1694},{""page_index"":2,""viewing_time"":1248},{""page_index"":3,""viewing_time"":1456},{""page_index"":4,""viewing_time"":881},{""page_index"":5,""viewing_time"":1543},{""page_index"":6,""viewing_time"":1176}]","126653","","","","","","","","","","","","",""
"","survey-multi-choice","11","533699","0.0-4.1-1.1","","21327","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们可以吃"",""Q2"":""斑点价值2分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","12","541099","0.0-4.1-2.1","","7398","","{""Q0"":""-1"",""Q1"":""0"",""Q2"":""1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","13","552871","0.0-4.1-3.1","","11775","","{""Q0"":""2"",""Q1"":""-2"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","14","566615","0.0-4.1-4.1","","13742","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-3"",""Q3"":""3""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","15","585142","0.0-4.1-5.1","","18525","","{""Q0"":""-1"",""Q1"":""2"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","html-button-response","16","586606","0.0-5.0","","1460","
    <div class=""break-container"">
        <p class=""break-message"">🎉太棒了</p>
        <p class=""break-message"">你通过了所有的测验，获得了导游资格证🎫</p>
        <p class=""break-message"">现在，点击下方按钮，正式开始接待游客</p>
    </div>
    ","0","","unbias","[{""绿"":0},{""红"":-1},{""蓝"":1},{""斑点"":2},{""条纹"":-2},{""纯色"":0}]","","","","","","","",""
"","survey-html-form","17","614826","0.0-6.0","","28214","","{""feature"":""斑点"",""value"":""2""}","","","","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":3}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":1}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":-1}","斑点","2","","",""
"","survey-html-form","18","634369","0.0-7.0","","19542","","{""feature"":""斑点"",""value"":""2""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-3}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":2}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":-2}","斑点","2","","",""
"","survey-html-form","19","661289","0.0-8.0","","26919","","{""feature"":""蓝色"",""value"":""1""}","","","","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":3}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":-2}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":0}","蓝色","1","","",""
"","survey-multi-choice","20","664738","0.0-9.0","","3448","","{""Q0"":""A""}","[0]","","","","","","","","A","A","pass"
"","survey-html-form","21","694248","0.0-10.0","","29509","","{""feature"":""蓝色"",""value"":""1""}","","","","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value"":3}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":0}","蓝色","1","","",""
"","survey-html-form","22","713376","0.0-11.0","","19127","","{""feature"":""条纹"",""value"":""-2""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-3}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":1}","条纹","-2","","",""
"","survey-html-form","23","722672","0.0-12.0","","9295","","{""feature"":""红色"",""value"":""-1""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-3}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value"":2}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":0}","红色","-1","","",""
"","survey-multi-choice","24","724832","0.0-13.0","","2159","","{""Q0"":""S""}","[0]","","","","","","","","S","S","pass"
"","survey-html-form","25","757770","0.0-14.0","","32934","","{""feature"":""绿色"",""value"":""0""}","","","","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value"":-1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":0}","绿色","0","","",""
"","survey-html-form","26","769762","0.0-15.0","","11991","","{""feature"":""条纹"",""value"":""-2""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-3}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":1}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":-2}","条纹","-2","","",""
"","survey-html-form","27","791610","0.0-16.0","","21847","","{""feature"":""纯色"",""value"":""0""}","","","","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value"":-1}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":0}","纯色","0","","",""
"","survey-multi-choice","28","794002","0.0-17.0","","2391","","{""Q0"":""O""}","[0]","","","","","","","","O","O","pass"
"","survey-html-form","29","807214","0.0-18.0","","13213","","{""feature"":""斑点"",""value"":""2""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value"":-3}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value"":1}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":-2}","斑点","2","","",""
"","survey-multi-choice","30","808966","0.0-19.0","","1752","","{""Q0"":""M""}","[0]","","","","","","","","M","M","pass"
"","survey-html-form","31","819078","0.0-20.0","","10109","","{""feature"":""蓝色"",""value"":""1""}","","","","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value"":1}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value"":-2}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value"":0}","蓝色","1","","",""
