﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","mushroom1","mushroom2","mushroom3","feature","value","attentionStimuli","attentionChoice","attentionCheck"
"true","fullscreen","0","1999","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","30197","0.0-1.0","[{""page_index"":0,""viewing_time"":1028},{""page_index"":1,""viewing_time"":20034},{""page_index"":2,""viewing_time"":7135}]","28197","","","","","","","","","","","","",""
"","html-button-response","2","31991","0.0-2.0","","1792","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","33287","0.0-3.0","","1296","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","165245","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":3637},{""page_index"":1,""viewing_time"":4118},{""page_index"":2,""viewing_time"":952},{""page_index"":3,""viewing_time"":91830},{""page_index"":4,""viewing_time"":1085},{""page_index"":5,""viewing_time"":25213},{""page_index"":6,""viewing_time"":5122}]","131957","","","","","","","","","","","","",""
"","survey-multi-choice","5","205385","0.0-4.0-1.0","","40138","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们很美味"",""Q2"":""斑点价值-1分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","216898","0.0-4.0-2.0","","11511","","{""Q0"":""-1"",""Q1"":""-1"",""Q2"":""2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","246842","0.0-4.0-3.0","","29940","","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","258596","0.0-4.0-4.0","","11751","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-5"",""Q3"":""5""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","280803","0.0-4.0-5.0","","22204","","{""Q0"":""5"",""Q1"":""-3"",""Q2"":""-2""}","[0,1,2]","","","","","","","","","",""
"","instructions","10","313443","0.0-4.1-0.1","[{""page_index"":0,""viewing_time"":3723},{""page_index"":1,""viewing_time"":8556},{""page_index"":2,""viewing_time"":1725},{""page_index"":3,""viewing_time"":1169},{""page_index"":4,""viewing_time"":6627},{""page_index"":5,""viewing_time"":8718},{""page_index"":6,""viewing_time"":2120}]","32638","","","","","","","","","","","","",""
"","survey-multi-choice","11","323169","0.0-4.1-1.1","","9725","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们可以吃"",""Q2"":""斑点价值-1分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","12","334979","0.0-4.1-2.1","","11807","","{""Q0"":""-1"",""Q1"":""-1"",""Q2"":""2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","13","345716","0.0-4.1-3.1","","10734","","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","14","357252","0.0-4.1-4.1","","11534","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-5"",""Q3"":""5""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","15","378761","0.0-4.1-5.1","","21506","","{""Q0"":""5"",""Q1"":""-3"",""Q2"":""-2""}","[0,1,2]","","","","","","","","","",""
"","html-button-response","16","379946","0.0-5.0","","1181","
    <div class=""break-container"">
        <p class=""break-message"">🎉太棒了</p>
        <p class=""break-message"">你通过了所有的测验，获得了导游资格证🎫</p>
        <p class=""break-message"">现在，点击下方按钮，正式开始接待游客</p>
    </div>
    ","0","","unbias","[{""绿"":0},{""红"":-2},{""蓝"":2},{""斑点"":-1},{""条纹"":1},{""纯色"":0},{""绿_A1"":-1},{""红_A1"":-3},{""蓝_A1"":1},{""斑点_A1"":-2},{""条纹_A1"":0},{""纯色_A1"":-1},{""绿_A2"":1},{""红_A2"":-1},{""蓝_A2"":3},{""斑点_A2"":0},{""条纹_A2"":2},{""纯色_A2"":1}]","","","","","","","",""
"","survey-html-form","17","393924","0.0-6.0","","13976","","{""feature"":""蓝色"",""value"":""0""}","","","","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value_A1"":0,""value_A2"":4}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-2,""value_A2"":2}","蓝色","0","","",""
"","survey-html-form","18","402164","0.0-7.0","","8238","","{""feature"":""绿色"",""value"":""-2""}","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-1,""value_A2"":3}","绿色","-2","","",""
"","survey-html-form","19","412802","0.0-8.0","","10636","","{""feature"":""蓝色"",""value"":""0""}","","","","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value_A1"":0,""value_A2"":4}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","蓝色","0","","",""
"","survey-multi-choice","20","414716","0.0-9.0","","1912","","{""Q0"":""G""}","[0]","","","","","","","","G","G","pass"
"","survey-html-form","21","425372","0.0-10.0","","10654","","{""feature"":""斑点"",""value"":""-1""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":1,""value_A2"":5}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","斑点","-1","","",""
"","survey-multi-choice","22","426893","0.0-11.0","","1520","","{""Q0"":""C""}","[0]","","","","","","","","C","C","pass"
"","survey-html-form","23","433280","0.0-12.0","","6384","","{""feature"":""条纹"",""value"":""-3""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":-4,""value_A2"":0}","条纹","-3","","",""
"","survey-multi-choice","24","434905","0.0-13.0","","1625","","{""Q0"":""A""}","[0]","","","","","","","","A","A","pass"
"","survey-html-form","25","444097","0.0-14.0","","9189","","{""feature"":""条纹"",""value"":""-3""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","条纹","-3","","",""
"","survey-html-form","26","456275","0.0-15.0","","12176","","{""feature"":""纯色"",""value"":""0""}","","","","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":1,""value_A2"":5}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":-4,""value_A2"":0}","纯色","0","","",""
"","survey-html-form","27","464656","0.0-16.0","","8379","","{""feature"":""红色"",""value"":""-1""}","","","","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":1,""value_A2"":5}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-1,""value_A2"":3}","红色","-1","","",""
"","survey-multi-choice","28","467085","0.0-17.0","","2429","","{""Q0"":""G""}","[0]","","","","","","","","G","G","pass"
"","survey-html-form","29","474341","0.0-18.0","","7252","","{""feature"":""纯色"",""value"":""0""}","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":-4,""value_A2"":0}","纯色","0","","",""
"","survey-multi-choice","30","480645","0.0-19.0","","6303","","{""Q0"":""H""}","[0]","","","","","","","","H","H","pass"
"","survey-html-form","31","553685","0.0-20.0","","73037","","{""feature"":""蓝色"",""value"":""0""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value_A1"":0,""value_A2"":4}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","蓝色","0","","",""
"","survey-html-form","32","560864","0.0-21.0","","7177","","{""feature"":""蓝色"",""value"":""-1""}","","","","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":-4,""value_A2"":0}","蓝色","-1","","",""
"","survey-html-form","33","567824","0.0-22.0","","6959","","{""feature"":""条纹"",""value"":""-3""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value_A1"":0,""value_A2"":4}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-1,""value_A2"":3}","条纹","-3","","",""
"","survey-html-form","34","574467","0.0-23.0","","6641","","{""feature"":""纯色"",""value"":""0""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":-4,""value_A2"":0}","纯色","0","","",""
"","survey-html-form","35","582071","0.0-24.0","","7602","","{""feature"":""条纹"",""value"":""-3""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-1,""value_A2"":3}","条纹","-3","","",""
"","survey-html-form","36","587458","0.0-25.0","","5385","","{""feature"":""绿色"",""value"":""-1""}","","","","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-1,""value_A2"":3}","绿色","-1","","",""
"","survey-html-form","37","598436","0.0-26.0","","10975","","{""feature"":""纯色"",""value"":""-2""}","","","","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-2,""value_A2"":2}","纯色","-2","","",""
"","survey-html-form","38","606395","0.0-27.0","","7958","","{""feature"":""纯色"",""value"":""-2""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":1,""value_A2"":5}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-2,""value_A2"":2}","纯色","-2","","",""
"","survey-multi-choice","39","608741","0.0-28.0","","2345","","{""Q0"":""F""}","[0]","","","","","","","","F","F","pass"
"","survey-html-form","40","628938","0.0-29.0","","20194","","{""feature"":""绿色"",""value"":""-2""}","","","","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value_A1"":0,""value_A2"":4}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":1,""value_A2"":5}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-2,""value_A2"":2}","绿色","-2","","",""
"","survey-html-form","41","634302","0.0-30.0","","5362","","{""feature"":""蓝色"",""value"":""0""}","","","","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value_A1"":0,""value_A2"":4}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":-4,""value_A2"":0}","蓝色","0","","",""
