﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","attentionStimuli","attentionChoice","attentionCheck","mushroom1","mushroom2","mushroom3","feature","value"
"true","fullscreen","0","2766","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","9343","0.0-1.0","[{""page_index"":0,""viewing_time"":1760},{""page_index"":1,""viewing_time"":3064},{""page_index"":2,""viewing_time"":1752}]","6576","","","","","","","","","","","","",""
"","html-button-response","2","11095","0.0-2.0","","1751","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","12111","0.0-3.0","","1015","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","213287","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":17511},{""page_index"":1,""viewing_time"":7072},{""page_index"":2,""viewing_time"":79704},{""page_index"":3,""viewing_time"":49560},{""page_index"":4,""viewing_time"":6032},{""page_index"":5,""viewing_time"":36208},{""page_index"":6,""viewing_time"":5089}]","201176","","","","","","","","","","","","",""
"","survey-multi-choice","5","268288","0.0-4.0-1.0","","54999","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们可以吃"",""Q2"":""中间的蘑菇是最好的""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","286104","0.0-4.0-2.0","","17815","","{""Q0"":""3"",""Q1"":""-3"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","308960","0.0-4.0-3.0","","22855","","{""Q0"":""1"",""Q1"":""0"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","335376","0.0-4.0-4.0","","26415","","{""Q0"":""3"",""Q1"":""3"",""Q2"":""-5"",""Q3"":""5""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","358689","0.0-4.0-5.0","","23311","","{""Q0"":""3"",""Q1"":""-4"",""Q2"":""1""}","[0,1,2]","","","","","","","","","",""
"","instructions","10","423927","0.0-4.1-0.1","[{""page_index"":0,""viewing_time"":6085},{""page_index"":1,""viewing_time"":1744},{""page_index"":2,""viewing_time"":3112},{""page_index"":1,""viewing_time"":3648},{""page_index"":2,""viewing_time"":3921},{""page_index"":3,""viewing_time"":5831},{""page_index"":4,""viewing_time"":2600},{""page_index"":5,""viewing_time"":29688},{""page_index"":6,""viewing_time"":8608}]","65238","","","","","","","","","","","","",""
"","survey-multi-choice","11","446240","0.0-4.1-1.1","","22311","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们可以吃"",""Q2"":""斑点价值0分""}","[0,1,2]","","","","","","","","","",""
