﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","mushroom1","mushroom2","mushroom3","feature","value","attentionStimuli","attentionChoice","attentionCheck"
"true","fullscreen","0","2211","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","9698","0.0-1.0","[{""page_index"":0,""viewing_time"":1241},{""page_index"":1,""viewing_time"":5250},{""page_index"":2,""viewing_time"":993}]","7485","","","","","","","","","","","","",""
"","html-button-response","2","11075","0.0-2.0","","1374","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","12166","0.0-3.0","","1090","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","126098","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":4194},{""page_index"":1,""viewing_time"":6958},{""page_index"":2,""viewing_time"":14063},{""page_index"":3,""viewing_time"":11973},{""page_index"":4,""viewing_time"":4825},{""page_index"":5,""viewing_time"":19037},{""page_index"":6,""viewing_time"":6688},{""page_index"":5,""viewing_time"":6106},{""page_index"":4,""viewing_time"":1565},{""page_index"":3,""viewing_time"":2339},{""page_index"":2,""viewing_time"":1515},{""page_index"":1,""viewing_time"":1433},{""page_index"":0,""viewing_time"":4238},{""page_index"":1,""viewing_time"":1220},{""page_index"":2,""viewing_time"":5374},{""page_index"":3,""viewing_time"":2034},{""page_index"":4,""viewing_time"":3426},{""page_index"":5,""viewing_time"":942},{""page_index"":4,""viewing_time"":1877},{""page_index"":5,""viewing_time"":10883},{""page_index"":6,""viewing_time"":3243}]","113930","","","","","","","","","","","","",""
"","survey-multi-choice","5","200050","0.0-4.0-1.0","","73948","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们可以吃"",""Q2"":""斑点价值1分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","215124","0.0-4.0-2.0","","15071","","{""Q0"":""-1"",""Q1"":""1"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","234547","0.0-4.0-3.0","","19420","","{""Q0"":""2"",""Q1"":""-1"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","248038","0.0-4.0-4.0","","13487","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-5"",""Q3"":""5""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","266995","0.0-4.0-5.0","","18954","","{""Q0"":""2"",""Q1"":""1"",""Q2"":""-3""}","[0,1,2]","","","","","","","","","",""
"","html-button-response","10","269727","0.0-5.0","","2729","
    <div class=""break-container"">
        <p class=""break-message"">🎉太棒了</p>
        <p class=""break-message"">你通过了所有的测验，获得了导游资格证🎫</p>
        <p class=""break-message"">现在，点击下方按钮，正式开始接待游客</p>
    </div>
    ","0","","unbias","[{""绿"":2},{""红"":-2},{""蓝"":0},{""斑点"":1},{""条纹"":0},{""纯色"":-1},{""绿_A1"":1},{""红_A1"":-3},{""蓝_A1"":-1},{""斑点_A1"":0},{""条纹_A1"":-1},{""纯色_A1"":-2},{""绿_A2"":3},{""红_A2"":-1},{""蓝_A2"":1},{""斑点_A2"":2},{""条纹_A2"":1},{""纯色_A2"":0}]","","","","","","","",""
"","survey-html-form","11","303610","0.0-6.0","","33878","","{""feature"":""斑点"",""value"":""2""}","","","","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-1,""value_A2"":3}","斑点","2","","",""
"","survey-multi-choice","12","306543","0.0-7.0","","2932","","{""Q0"":""M""}","[0]","","","","","","","","M","M","pass"
"","survey-html-form","13","338771","0.0-8.0","","32225","","{""feature"":""蓝色"",""value"":""-1""}","","","","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-1,""value_A2"":3}","蓝色","-1","","",""
"","survey-multi-choice","14","340854","0.0-9.0","","2082","","{""Q0"":""I""}","[0]","","","","","","","","I","I","pass"
"","survey-html-form","15","357196","0.0-10.0","","16338","","{""feature"":""斑点"",""value"":""1""}","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":1,""value_A2"":5}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-2,""value_A2"":2}","斑点","1","","",""
"","survey-html-form","16","380966","0.0-11.0","","23765","","{""feature"":""绿色"",""value"":""1""}","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-1,""value_A2"":3}","绿色","1","","",""
"","survey-html-form","17","410879","0.0-12.0","","29909","","{""feature"":""绿色"",""value"":""0""}","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":1,""value_A2"":5}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","绿色","0","","",""
"","survey-html-form","18","421347","0.0-13.0","","10464","","{""feature"":""纯色"",""value"":""-1""}","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":0,""value_A2"":4}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-2,""value_A2"":2}","纯色","-1","","",""
