﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","mushroom1","mushroom2","mushroom3","feature","value","attentionStimuli","attentionChoice","attentionCheck"
"true","fullscreen","0","2118","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","12333","0.0-1.0","[{""page_index"":0,""viewing_time"":2737},{""page_index"":1,""viewing_time"":4433},{""page_index"":2,""viewing_time"":3042}]","10213","","","","","","","","","","","","",""
"","html-button-response","2","14402","0.0-2.0","","2068","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","15836","0.0-3.0","","1432","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","142659","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":3307},{""page_index"":1,""viewing_time"":5334},{""page_index"":2,""viewing_time"":69642},{""page_index"":3,""viewing_time"":28119},{""page_index"":4,""viewing_time"":5977},{""page_index"":5,""viewing_time"":8432},{""page_index"":6,""viewing_time"":6009}]","126820","","","","","","","","","","","","",""
"","survey-multi-choice","5","171450","0.0-4.0-1.0","","28788","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们很美味"",""Q2"":""斑点价值-2分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","185822","0.0-4.0-2.0","","14369","","{""Q0"":""0"",""Q1"":""-1"",""Q2"":""1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","200026","0.0-4.0-3.0","","14201","","{""Q0"":""-1"",""Q1"":""-1"",""Q2"":""2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","219655","0.0-4.0-4.0","","19626","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-5"",""Q3"":""5""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","251130","0.0-4.0-5.0","","31470","","{""Q0"":""3"",""Q1"":""4"",""Q2"":""1""}","[0,1,2]","","","","","","","","","",""
"","instructions","10","385000","0.0-4.1-0.1","[{""page_index"":0,""viewing_time"":10486},{""page_index"":1,""viewing_time"":11435},{""page_index"":2,""viewing_time"":8916},{""page_index"":3,""viewing_time"":12480},{""page_index"":4,""viewing_time"":5168},{""page_index"":5,""viewing_time"":4464},{""page_index"":4,""viewing_time"":22577},{""page_index"":5,""viewing_time"":4935},{""page_index"":4,""viewing_time"":1039},{""page_index"":3,""viewing_time"":1429},{""page_index"":2,""viewing_time"":819},{""page_index"":1,""viewing_time"":2012},{""page_index"":0,""viewing_time"":6160},{""page_index"":1,""viewing_time"":3693},{""page_index"":2,""viewing_time"":8139},{""page_index"":3,""viewing_time"":3088},{""page_index"":4,""viewing_time"":4185},{""page_index"":3,""viewing_time"":1917},{""page_index"":2,""viewing_time"":2238},{""page_index"":3,""viewing_time"":1260},{""page_index"":4,""viewing_time"":2604},{""page_index"":5,""viewing_time"":4712},{""page_index"":6,""viewing_time"":10108}]","133866","","","","","","","","","","","","",""
"","survey-multi-choice","11","416118","0.0-4.1-1.1","","31117","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们可以吃"",""Q2"":""斑点价值-2分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","12","436345","0.0-4.1-2.1","","20225","","{""Q0"":""0"",""Q1"":""-1"",""Q2"":""1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","13","454951","0.0-4.1-3.1","","18605","","{""Q0"":""-1"",""Q1"":""-1"",""Q2"":""2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","14","478887","0.0-4.1-4.1","","23935","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-5"",""Q3"":""5""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","15","503652","0.0-4.1-5.1","","24762","","{""Q0"":""3"",""Q1"":""-4"",""Q2"":""1""}","[0,1,2]","","","","","","","","","",""
"","html-button-response","16","505767","0.0-5.0","","2112","
    <div class=""break-container"">
        <p class=""break-message"">🎉太棒了</p>
        <p class=""break-message"">你通过了所有的测验，获得了导游资格证🎫</p>
        <p class=""break-message"">现在，点击下方按钮，正式开始接待游客</p>
    </div>
    ","0","","unbias","[{""绿"":0},{""红"":-1},{""蓝"":1},{""斑点"":-2},{""条纹"":0},{""纯色"":2},{""绿_A1"":-1},{""红_A1"":-2},{""蓝_A1"":0},{""斑点_A1"":-3},{""条纹_A1"":-1},{""纯色_A1"":1},{""绿_A2"":1},{""红_A2"":0},{""蓝_A2"":2},{""斑点_A2"":-1},{""条纹_A2"":1},{""纯色_A2"":3}]","","","","","","","",""
"","survey-html-form","17","531501","0.0-6.0","","25732","","{""feature"":""纯色"",""value"":""1""}","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":0,""value_A2"":4}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value_A1"":1,""value_A2"":5}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","纯色","1","","",""
"","survey-html-form","18","553165","0.0-7.0","","21662","","{""feature"":""纯色"",""value"":""1""}","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":0,""value_A2"":4}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","纯色","1","","",""
"","survey-html-form","19","580036","0.0-8.0","","26867","","{""feature"":""斑点"",""value"":""-3""}","","","","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","斑点","-3","","",""
"","survey-html-form","20","600536","0.0-9.0","","20496","","{""feature"":""绿色"",""value"":""-1""}","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","绿色","-1","","",""
"","survey-multi-choice","21","603336","0.0-10.0","","2800","","{""Q0"":""H""}","[0]","","","","","","","","H","H","pass"
"","survey-html-form","22","631528","0.0-11.0","","28189","","{""feature"":""斑点"",""value"":""-3""}","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":0,""value_A2"":4}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":-4,""value_A2"":0}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","斑点","-3","","",""
"","survey-multi-choice","23","633009","0.0-12.0","","1480","","{""Q0"":""N""}","[0]","","","","","","","","N","N","pass"
"","survey-html-form","24","644984","0.0-13.0","","11973","","{""feature"":""斑点"",""value"":""-3""}","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":0,""value_A2"":4}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","斑点","-3","","",""
"","survey-html-form","25","657996","0.0-14.0","","13008","","{""feature"":""斑点"",""value"":""-3""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":-4,""value_A2"":0}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","斑点","-3","","",""
"","survey-multi-choice","26","659648","0.0-15.0","","1652","","{""Q0"":""H""}","[0]","","","","","","","","H","H","pass"
"","survey-html-form","27","683376","0.0-16.0","","23725","","{""feature"":""纯色"",""value"":""1""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","纯色","1","","",""
"","survey-html-form","28","691048","0.0-17.0","","7671","","{""feature"":""斑点"",""value"":""-3""}","","","","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":-1,""value_A2"":3}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":-4,""value_A2"":0}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","斑点","-3","","",""
"","survey-html-form","29","696301","0.0-18.0","","5251","","{""feature"":""斑点"",""value"":""-3""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","斑点","-3","","",""
"","survey-multi-choice","30","698413","0.0-19.0","","2110","","{""Q0"":""R""}","[0]","","","","","","","","R","R","pass"
"","survey-html-form","31","710181","0.0-20.0","","11760","","{""feature"":""纯色"",""value"":""1""}","","","","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value_A1"":1,""value_A2"":5}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-5,""value_A2"":-1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","纯色","1","","",""
"","survey-multi-choice","32","712113","0.0-21.0","","1931","","{""Q0"":""F""}","[0]","","","","","","","","F","F","pass"
