﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","attentionStimuli","attentionChoice","attentionCheck","mushroom1","mushroom2","mushroom3","feature","value"
"true","fullscreen","0","4310","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","40463","0.0-1.0","[{""page_index"":0,""viewing_time"":2040},{""page_index"":1,""viewing_time"":28550},{""page_index"":2,""viewing_time"":5563}]","36153","","","","","","","","","","","","",""
"","html-button-response","2","42548","0.0-2.0","","2083","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","46747","0.0-3.0","","4199","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","196954","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":7233},{""page_index"":1,""viewing_time"":3571},{""page_index"":2,""viewing_time"":4116},{""page_index"":3,""viewing_time"":17128},{""page_index"":4,""viewing_time"":5259},{""page_index"":5,""viewing_time"":29942},{""page_index"":4,""viewing_time"":2003},{""page_index"":3,""viewing_time"":14465},{""page_index"":4,""viewing_time"":1431},{""page_index"":5,""viewing_time"":55473},{""page_index"":6,""viewing_time"":9581}]","150202","","","","","","","","","","","","",""
"","survey-multi-choice","5","249571","0.0-4.0-1.0","","52614","","{""Q0"":""游客希望你尽量多讲讲他们的特征分数。"",""Q1"":""它们可以吃"",""Q2"":""斑点价值1分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","275646","0.0-4.0-2.0","","26072","","{""Q0"":""3"",""Q1"":""-1"",""Q2"":""-2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","298813","0.0-4.0-3.0","","23164","","{""Q0"":""2"",""Q1"":""-1"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","321409","0.0-4.0-4.0","","22592","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-5"",""Q3"":""5""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","339388","0.0-4.0-5.0","","17974","","{""Q0"":""0"",""Q1"":""-1"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","instructions","10","417837","0.0-4.1-0.1","[{""page_index"":0,""viewing_time"":9558},{""page_index"":1,""viewing_time"":8436},{""page_index"":2,""viewing_time"":22776},{""page_index"":3,""viewing_time"":4008},{""page_index"":4,""viewing_time"":2794},{""page_index"":5,""viewing_time"":18550},{""page_index"":6,""viewing_time"":12321}]","78443","","","","","","","","","","","","",""
"","survey-multi-choice","11","449172","0.0-4.1-1.1","","31334","","{""Q0"":""游客希望你尽量多讲讲他们的特征分数。"",""Q1"":""它们可以吃"",""Q2"":""斑点价值1分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","12","465809","0.0-4.1-2.1","","16632","","{""Q0"":""3"",""Q1"":""-1"",""Q2"":""-2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","13","481716","0.0-4.1-3.1","","15904","","{""Q0"":""2"",""Q1"":""-1"",""Q2"":""-1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","14","492858","0.0-4.1-4.1","","11137","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-5"",""Q3"":""5""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","15","537504","0.0-4.1-5.1","","44641","","{""Q0"":""0"",""Q1"":""-1"",""Q2"":""1""}","[0,1,2]","","","","","","","","","",""
"","html-button-response","16","539737","0.0-5.0","","2230","
    <div class=""break-container"">
        <p class=""break-message"">🎉太棒了</p>
        <p class=""break-message"">你通过了所有的测验，获得了导游资格证🎫</p>
        <p class=""break-message"">现在，点击下方按钮，正式开始接待游客</p>
    </div>
    ","0","","unbias","[{""绿"":0},{""红"":2},{""蓝"":-2},{""斑点"":1},{""条纹"":0},{""纯色"":-1},{""绿_A1"":-1},{""红_A1"":1},{""蓝_A1"":-3},{""斑点_A1"":0},{""条纹_A1"":-1},{""纯色_A1"":-2},{""绿_A2"":1},{""红_A2"":3},{""蓝_A2"":-1},{""斑点_A2"":2},{""条纹_A2"":1},{""纯色_A2"":0}]","","","","","","","",""
"","survey-multi-choice","17","544590","0.0-6.0","","4852","","{""Q0"":""Z""}","[0]","","","Z","Z","pass","","","","",""
"","survey-html-form","18","555222","0.0-7.0","","10626","","{""feature"":""绿色"",""value"":""-1""}","","","","","","","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-4,""value_A2"":0}","{""msr"":""Green-Spotted"",""color"":""green"",""type"":""spotted"",""value_A1"":-1,""value_A2"":3}","绿色","-1"
"","survey-html-form","19","565592","0.0-8.0","","10367","","{""feature"":""斑点"",""value"":""0""}","","","","","","","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":1,""value_A2"":5}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","斑点","0"
"","survey-html-form","20","573700","0.0-9.0","","8105","","{""feature"":""绿色"",""value"":""-1""}","","","","","","","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":1,""value_A2"":5}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-3,""value_A2"":1}","绿色","-1"
"","survey-html-form","21","585560","0.0-10.0","","11858","","{""feature"":""条纹"",""value"":""-1""}","","","","","","","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-4,""value_A2"":0}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":-1,""value_A2"":3}","条纹","-1"
"","survey-multi-choice","22","588546","0.0-11.0","","2984","","{""Q0"":""O""}","[0]","","","O","O","pass","","","","",""
"","survey-html-form","23","597655","0.0-12.0","","9102","","{""feature"":""斑点"",""value"":""0""}","","","","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":1,""value_A2"":5}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":0,""value_A2"":4}","斑点","0"
"","survey-html-form","24","644817","0.0-13.0","","47156","","{""feature"":""纯色"",""value"":""-2""}","","","","","","","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Green-Solid"",""color"":""green"",""type"":""solid"",""value_A1"":-3,""value_A2"":1}","{""msr"":""Blue-Solid"",""color"":""blue"",""type"":""solid"",""value_A1"":-5,""value_A2"":-1}","纯色","-2"
"","survey-multi-choice","25","647166","0.0-14.0","","2348","","{""Q0"":""P""}","[0]","","","P","P","pass","","","","",""
