﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","mushroom1","mushroom2","mushroom3","feature","value","attentionStimuli","attentionChoice","attentionCheck"
"true","fullscreen","0","3270","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","21819","0.0-1.0","[{""page_index"":0,""viewing_time"":2953},{""page_index"":1,""viewing_time"":10314},{""page_index"":2,""viewing_time"":5281}]","18548","","","","","","","","","","","","",""
"","html-button-response","2","24498","0.0-2.0","","2678","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","27427","0.0-3.0","","2929","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","132700","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":11500},{""page_index"":1,""viewing_time"":11856},{""page_index"":2,""viewing_time"":10843},{""page_index"":3,""viewing_time"":37482},{""page_index"":4,""viewing_time"":3167},{""page_index"":5,""viewing_time"":24404},{""page_index"":6,""viewing_time"":6020}]","105272","","","","","","","","","","","","",""
"","survey-multi-choice","5","179336","0.0-4.0-1.0","","46634","","{""Q0"":""游客希望你尽量多讲讲他们的特征分数。"",""Q1"":""它们可以吃"",""Q2"":""蘑菇通常在大雨后生长""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","216254","0.0-4.0-2.0","","36916","","{""Q0"":""1"",""Q1"":""1"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","263731","0.0-4.0-3.0","","47475","","{""Q0"":""2"",""Q1"":""-2"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","336287","0.0-4.0-4.0","","72554","","{""Q0"":""4"",""Q1"":""1"",""Q2"":""-5"",""Q3"":""5""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","357214","0.0-4.0-5.0","","20926","","{""Q0"":""-1"",""Q1"":""1"",""Q2"":""0""}","[0,1,2]","","","","","","","","","",""
