﻿"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","question_order","group","featureMatrix","mushroom1","mushroom2","mushroom3","feature","value","attentionStimuli","attentionChoice","attentionCheck"
"true","fullscreen","0","2125","0.0-0.0","","","","","","","","","","","","","","",""
"","instructions","1","10091","0.0-1.0","[{""page_index"":0,""viewing_time"":1939},{""page_index"":1,""viewing_time"":3280},{""page_index"":2,""viewing_time"":2744}]","7964","","","","","","","","","","","","",""
"","html-button-response","2","16139","0.0-2.0","","6047","
    <div class=""consent-container"" style=""width: 80%; margin: 0 auto; text-align: left;"">
        <h2 style=""text-align:center"">受试者声明</h2>
            <p style=""font-weight:bold"">本人确认：</p>
            <ol>
                <li>我已阅读并理解以上内容。</li>
                <li>我的参与是自愿的，可以随时退出研究而不会受到任何惩罚。</li>
                <li>我不会放弃任何法律权利，也不会使相关研究人员免于因疏忽而导致的法律责任。</li>
                <li>我同意成为本研究的参与者。</li>
            </ol>
            <p>若您需要重新阅读知情同意书，请刷新网页后重新进入。</p>
            <p>若您不同意参与这项研究，直接关闭本网页即可退出。</p>
            <p style=""font-weight:bold"">若您同意参与这项研究，请点击以下按钮，即表示您自愿签署这份知情同意书。</p>
            <div style=""text-align: center; margin: 30px 0;"">
            </div>
        </div>
    </div>
    ","0","","","","","","","","","","",""
"","html-button-response","3","19123","0.0-3.0","","2983","<img src=""asset/img/fungal-forest.jpg"" class=""fullscreen-image""><h1 class=""st"" style=""color:#FFF1AC;margin-bottom:15px"">欢迎来到真菌森林</h1>","0","","","","","","","","","","",""
"","instructions","4","107769","0.0-4.0-0.0","[{""page_index"":0,""viewing_time"":16270},{""page_index"":1,""viewing_time"":7608},{""page_index"":2,""viewing_time"":23576},{""page_index"":3,""viewing_time"":11008},{""page_index"":4,""viewing_time"":4840},{""page_index"":5,""viewing_time"":20528},{""page_index"":6,""viewing_time"":4816}]","88646","","","","","","","","","","","","",""
"","survey-multi-choice","5","126850","0.0-4.0-1.0","","19079","","{""Q0"":""给游客讲讲蘑菇的特征"",""Q1"":""它们可以吃"",""Q2"":""斑点价值-2分""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","6","138506","0.0-4.0-2.0","","11652","","{""Q0"":""1"",""Q1"":""-2"",""Q2"":""1""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","7","151442","0.0-4.0-3.0","","12933","","{""Q0"":""-1"",""Q1"":""-1"",""Q2"":""2""}","[0,1,2]","","","","","","","","","",""
"","survey-multi-choice","8","159658","0.0-4.0-4.0","","8213","","{""Q0"":""3"",""Q1"":""1"",""Q2"":""-5"",""Q3"":""5""}","[0,1,2,3]","","","","","","","","","",""
"","survey-multi-choice","9","177490","0.0-4.0-5.0","","17829","","{""Q0"":""3"",""Q1"":""-5"",""Q2"":""2""}","[0,1,2]","","","","","","","","","",""
"","html-button-response","10","179321","0.0-5.0","","1823","
    <div class=""break-container"">
        <p class=""break-message"">🎉太棒了</p>
        <p class=""break-message"">你通过了所有的测验，获得了导游资格证🎫</p>
        <p class=""break-message"">现在，点击下方按钮，正式开始接待游客</p>
    </div>
    ","0","","unbias","[{""绿"":-1},{""红"":0},{""蓝"":1},{""斑点"":-2},{""条纹"":0},{""纯色"":2},{""绿_A1"":-2},{""红_A1"":-1},{""蓝_A1"":0},{""斑点_A1"":-3},{""条纹_A1"":-1},{""纯色_A1"":1},{""绿_A2"":0},{""红_A2"":1},{""蓝_A2"":2},{""斑点_A2"":-1},{""条纹_A2"":1},{""纯色_A2"":3}]","","","","","","","",""
"","survey-html-form","11","206946","0.0-6.0","","27620","","{""feature"":""条纹"",""value"":""1""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-4,""value_A2"":0}","{""msr"":""Green-Striped"",""color"":""green"",""type"":""striped"",""value_A1"":-3,""value_A2"":1}","条纹","1","","",""
"","survey-html-form","12","226113","0.0-7.0","","19163","","{""feature"":""纯色"",""value"":""3""}","","","","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-4,""value_A2"":0}","{""msr"":""Red-Solid"",""color"":""red"",""type"":""solid"",""value_A1"":0,""value_A2"":4}","{""msr"":""Blue-Spotted"",""color"":""blue"",""type"":""spotted"",""value_A1"":-3,""value_A2"":1}","纯色","3","","",""
"","survey-html-form","13","237241","0.0-8.0","","11124","","{""feature"":""蓝色"",""value"":""2""}","","","","{""msr"":""Red-Striped"",""color"":""red"",""type"":""striped"",""value_A1"":-2,""value_A2"":2}","{""msr"":""Red-Spotted"",""color"":""red"",""type"":""spotted"",""value_A1"":-4,""value_A2"":0}","{""msr"":""Blue-Striped"",""color"":""blue"",""type"":""striped"",""value_A1"":-1,""value_A2"":3}","蓝色","2","","",""
